#key,timestamp,value
331,1456181593,1354
332,1456181653,1311
333,1456181713,1260
334,1456181773,1242
335,1456181833,1200
336,1456181893,1122
337,1456181953,1122
338,1456182013,1080
339,1456182073,1054
340,1456182133,1028
341,1456182193,968
342,1456182253,951
343,1456182313,900
344,1456182388,822
345,1456182448,737
346,1456182508,800
347,1456182572,730
348,1456182632,640
349,1456182692,570
350,1456182752,612
351,1456182812,552
352,1456182872,468
353,1456182932,435
354,1456182992,330
355,1456183052,240
356,1456183112,60
357,1456183172,40
358,1456183231,100
359,1456183290,30
360,1456183350,150
361,1456183410,300
362,1456183471,900
363,1456183531,1500
364,1456183591,1680
365,1456183651,1920
366,1456183711,2040
367,1456183771,2640
368,1456183831,1590
369,1456183891,1740
370,1456183954,1950
371,1456184014,1980
372,1456184074,1420
373,1456184134,1540
374,1456184195,1700
375,1456184267,1880
376,1456184327,1980
377,1456184387,1560
378,1456184454,1695
379,1456184514,1740
380,1456184574,1464
381,1456184642,1584
382,1456184708,1620
383,1456184770,1370
384,1456184839,1450
385,1456184907,1500
386,1456184975,1345
387,1456185044,1354
388,1456185113,1422
389,1456185175,1474
390,1456185246,1297
391,1456185314,1252
392,1456185381,1192
393,1456185448,1155
394,1456185513,1117
395,1456185574,1042
396,1456185634,1027
397,1456185694,990
398,1456185754,952
399,1456185814,907
400,1456185874,847
401,1456185934,817
402,1456185994,765
403,1456186054,750
404,1456186114,735
405,1456186174,697
406,1456186234,754
407,1456186294,711
408,1456186354,810
409,1456186414,790
410,1456186474,750
411,1456186534,816
412,1456186594,816
413,1456186654,792
414,1456186714,870
415,1456186774,855
416,1456186834,765
417,1456186894,980
418,1456186954,980
419,1456187014,1040
420,1456187074,1100
421,1456187134,1220
422,1456187195,1340
423,1456187255,1380
424,1456187315,1380
425,1456187375,1500
426,1456187435,1140
427,1456187495,1155
428,1456187555,1290
429,1456187615,1380
430,1456187675,1455
431,1456187735,1500
432,1456187795,1260
433,1456187855,1296
434,1456187916,1392
435,1456187982,1476
436,1456188042,1536
437,1456188104,1380
438,1456188170,1440
439,1456188239,1450
440,1456188304,1470
441,1456188366,1268
442,1456188429,1285
443,1456188495,1294
444,1456188562,1354
445,1456188628,1380
446,1456188695,1245
447,1456188762,1267
448,1456188828,1320
449,1456188894,1357
450,1456188960,1335
451,1456189027,1320
452,1456189093,1320
453,1456189159,1252
454,1456189226,1207
455,1456189288,1140
456,1456189351,1140
457,1456189411,1065
458,1456189471,990
459,1456189531,952
460,1456189591,885
461,1456189651,832
462,1456189711,802
463,1456189771,765
464,1456189831,848
465,1456189899,805
466,1456189959,737
467,1456190019,668
468,1456190081,700
469,1456190141,630
470,1456190201,540
471,1456190261,636
472,1456190321,564
473,1456190381,570
474,1456190441,480
475,1456190501,405
476,1456190561,460
477,1456190621,340
478,1456190681,240
479,1456190741,200
480,1456190801,510
481,1456190855,720
