timestamp value
1456170028 17.7453
1456170088 16.6638
1456170148 18.1039
1456170208 10.3276
1456170269 3.8913
1456170329 10.6083
1456170389 11.2010
1456170449 10.3022
1456170509 13.2319
1456170569 12.2101
1456170629 15.2982
1456170689 27.7650
1456170749 35.3578
1456170809 37.7287
1456170869 44.0321
1456170929 49.4226
1456170989 52.5123
1456171049 57.8107
1456171109 61.1317
1456171169 63.8526
1456171229 69.3313
1456171289 64.7295
1456171349 67.8775
1456171409 70.9721
1456171469 70.7999
1456171529 72.1860
1456171589 74.7743
1456171649 77.0209
1456171709 80.6721
1456171769 82.1190
1456171829 84.6424
1456171889 85.0492
1456171949 88.3158
1456172009 88.1972
1456172069 92.3077
1456172128 98.4492
1456172188 94.3714
1456172248 97.0010
1456172308 89.9466
1456172368 70.8535
1456172428 52.7233
1456172488 40.0201
1456172548 19.6656
1456172608 6.5464
1456172668 6.4798
1456172728 50.5355
1456172788 44.6551
1456172848 39.0874
1456172908 25.4098
1456172968 8.9575
1456173028 0.0000
1456173088 22.6558
1456173148 7.4875
1456173208 1.5281
1456173268 0.0468
1456173328 7.3118
1456173388 4.8772
1456173448 2.8056
1456173508 0.2119
1456173568 7.4709
1456173628 3.3105
1456173688 0.0484
1456173748 0.0476
1456173808 0.0324
1456173869 0.0664
1456173929 0.0797
1456173989 0.2488
1456174049 0.1508
1456174109 0.0496
1456174169 0.1178
1456174229 0.0489
1456174289 0.1481
1456174349 4.8649
1456174409 6.4345
1456174469 15.2622
1456174529 22.4596
1456174589 27.2634
1456174649 37.1663
1456174709 42.9443
1456174769 46.4546
1456174829 51.3800
1456174889 54.0622
1456174949 55.4492
1456175009 58.0423
1456175069 60.1174
