timestamp value
1456184756 10.7864
1456184816 0.0660
1456184876 0.0495
1456184936 0.0476
1456184996 0.0649
1456185056 2.3956
1456185117 0.4837
1456185177 0.4727
1456185237 0.0000
1456185297 0.0339
1456185357 1.8404
1456185417 0.1018
1456185477 0.2905
1456185537 5.3253
1456185597 14.1185
1456185657 21.4361
1456185717 29.2308
1456185777 35.1464
1456185837 42.4175
1456185897 48.2106
1456185957 53.2816
1456186017 57.3547
1456186077 58.5712
1456186137 60.1346
1456186197 63.2516
1456186257 61.8816
1456186317 64.0549
1456186377 64.7779
1456186437 61.7583
1456186497 64.5285
1456186557 67.4029
1456186617 62.6696
1456186677 64.4697
1456186737 67.9116
1456186797 63.5146
1456186857 66.0974
1456186917 66.8004
1456186977 56.1201
1456187037 51.4080
1456187097 46.9888
1456187157 39.3726
1456187217 30.5462
1456187277 28.3729
1456187337 17.0900
1456187396 44.1408
1456187456 42.7757
1456187516 38.2811
1456187576 28.3409
1456187636 17.4954
1456187696 5.0352
1456187756 13.4641
1456187816 24.7352
1456187876 16.6583
1456187936 3.1344
1456187996 0.7326
1456188056 6.5546
1456188116 2.2055
1456188176 0.5529
1456188236 0.0000
1456188296 0.0492
1456188356 1.4796
1456188416 3.5884
1456188476 1.1449
1456188536 0.2931
1456188596 1.7153
1456188656 1.6866
1456188716 0.6658
1456188777 0.0531
1456188837 2.3818
1456188897 0.0530
1456188957 0.0524
1456189017 0.1071
1456189077 0.7758
1456189137 0.6868
1456189197 0.2398
1456189257 2.7569
1456189317 0.6123
1456189377 9.5946
1456189437 24.1574
1456189497 35.4437
1456189557 41.2641
1456189617 48.1243
1456189677 52.5304
1456189737 54.7952
1456189796 58.2029
1456189856 60.6111
1456189916 66.3818
1456189976 63.1076
1456190036 67.7770
