timestamp value
1456165173 56.9943
1456165233 46.4567
1456165293 39.4671
1456165353 53.2058
1456165413 46.4777
1456165473 43.0974
1456165533 39.3087
1456165593 35.4311
1456165653 49.7736
1456165713 42.9436
1456165773 31.5188
1456165833 20.0302
1456165893 13.8415
1456165953 15.9365
1456166013 11.8061
1456166073 4.0823
1456166133 3.0557
1456166193 3.2640
1456166253 7.3512
1456166313 7.3155
1456166373 8.5300
1456166433 8.0818
1456166493 8.8996
1456166553 11.8067
1456166613 10.9542
1456166673 13.1561
1456166733 6.6979
1456166793 7.8302
1456166853 15.7404
1456166913 13.4415
1456166973 6.2892
1456167033 15.0330
1456167093 12.7194
1456167153 10.5167
1456167213 11.0596
1456167273 10.2063
1456167333 25.3858
1456167394 36.3115
1456167454 41.5435
1456167514 50.0169
1456167574 51.8788
1456167634 53.4911
1456167694 57.3183
1456167754 61.7282
1456167814 64.6615
1456167874 66.5439
1456167934 69.8864
1456167994 73.7582
1456168054 73.5186
1456168114 73.4871
1456168174 76.8845
1456168234 76.2749
1456168294 79.2752
1456168354 82.8987
1456168414 81.8957
1456168474 84.6128
1456168534 83.8140
1456168594 75.5180
1456168654 66.6054
1456168714 59.9464
1456168774 28.5810
1456168834 16.6416
1456168894 9.1166
1456168954 0.0000
1456169014 20.9380
1456169074 21.4405
1456169134 0.0664
1456169194 21.4405
1456169254 30.1259
1456169314 27.3140
1456169374 9.3043
1456169434 8.3901
1456169494 24.2934
1456169554 8.7866
1456169614 5.1476
1456169674 0.1145
1456169734 9.6903
1456169794 9.5670
1456169854 8.5786
1456169914 1.5686
1456169974 0.0657
1456170034 3.2301
1456170094 0.0827
1456170154 0.0824
1456170214 0.0169
1456170274 0.0000
1456170334 3.0997
1456170394 0.0698
1456170454 4.0792
1456170514 2.9679
1456170573 5.6003
1456170633 7.3109
1456170693 20.5820
1456170753 27.9499
1456170813 31.5379
1456170873 38.8536
1456170933 44.4048
1456170993 48.2513
1456171053 53.3187
1456171113 57.2415
1456171173 60.0705
1456171233 65.8340
1456171293 61.2211
1456171353 65.1439
1456171413 67.5762
1456171473 67.6269
1456171533 69.5252
1456171593 72.0988
1456171653 73.6781
1456171713 78.4579
1456171773 80.0768
1456171833 82.7880
1456171893 83.9184
1456171953 87.1996
1456172013 88.1421
1456172073 92.4950
