timestamp value
1456174024 20.8225
1456174084 9.1512
1456174144 6.8026
1456174204 6.1002
1456174264 5.3090
1456174324 8.0662
1456174385 6.5669
1456174445 22.8080
1456174505 31.7657
1456174565 33.3916
1456174625 42.8865
1456174685 49.2886
1456174745 50.4411
1456174805 56.0565
1456174865 60.0739
1456174925 60.1782
1456174985 62.5168
1456175045 64.4269
1456175105 63.2886
1456175165 63.7827
1456175225 67.3640
1456175285 65.9400
1456175345 63.9745
1456175405 68.7981
1456175465 70.1607
1456175525 68.7772
1456175585 71.4357
