timestamp value
1456166244 8.3560
1456166304 0.0320
1456166364 0.0645
1456166424 0.0316
1456166484 0.0802
1456166544 1.2193
1456166604 0.3783
1456166664 0.1298
1456166724 2.1048
1456166784 0.0000
1456166844 0.0484
1456166904 0.5408
1456166964 4.2382
1456167024 2.4275
1456167084 0.9085
1456167144 1.0556
1456167203 2.9468
1456167263 1.6049
1456167323 17.1916
1456167383 32.3519
1456167443 37.1316
1456167503 47.6489
1456167563 50.8677
1456167623 52.9729
1456167683 56.6225
1456167743 60.8652
1456167803 63.6668
1456167863 65.7486
1456167923 69.2720
1456167983 73.1271
1456168043 73.3758
1456168103 72.3383
1456168163 75.8644
1456168223 76.0750
1456168283 78.0561
1456168343 82.2222
