timestamp value
1456165978 22.3547
1456166038 4.9348
1456166098 6.9981
1456166158 0.0641
1456166218 2.8206
1456166278 10.5462
1456166338 6.6987
1456166398 7.5979
1456166458 3.7020
1456166518 6.6355
1456166578 8.4403
1456166637 10.5399
1456166697 9.0801
1456166757 2.5794
1456166817 22.2528
1456166877 9.3637
1456166937 4.1622
1456166997 6.5434
1456167057 12.5769
1456167117 12.5593
1456167177 13.7509
1456167238 12.7595
1456167298 22.5923
1456167358 35.1251
1456167418 43.5203
1456167478 50.3238
1456167538 55.3734
1456167598 57.5574
1456167658 60.5312
1456167718 63.6989
1456167778 66.7560
1456167838 69.5783
1456167898 70.8842
1456167958 74.6825
1456168018 76.8664
1456168078 74.2356
1456168138 75.7986
1456168198 78.0154
1456168258 78.1788
1456168318 81.5266
1456168378 82.9997
1456168438 82.8619
1456168498 84.4063
1456168558 81.5415
1456168618 71.2926
1456168678 64.3036
