timestamp value
1456166799 0.2850
1456166859 3.9542
1456166919 0.6914
1456166979 0.0670
1456167039 1.6385
1456167099 0.1042
1456167159 0.2839
1456167220 0.1172
1456167280 6.5414
1456167340 20.6655
1456167400 33.4483
1456167460 39.7919
1456167520 48.0786
1456167580 49.9068
1456167640 53.3255
1456167700 57.2294
1456167760 60.6789
1456167820 64.6061
1456167880 65.6894
1456167940 69.8609
1456168000 73.4404
1456168060 72.4565
1456168120 73.5486
1456168180 76.5089
1456168240 75.5942
1456168300 79.2342
1456168360 82.6981
1456168420 81.5719
1456168480 84.4064
1456168540 83.2610
1456168600 73.3500
1456168660 64.9933
1456168720 58.1827
1456168780 23.1734
1456168840 12.6648
1456168900 5.2126
1456168960 0.0000
1456169020 0.0000
1456169080 4.6449
1456169140 0.8139
1456169200 17.7869
1456169260 25.7431
1456169320 23.1750
1456169380 5.0662
1456169440 6.7484
1456169500 18.7542
1456169560 8.1547
1456169620 3.2998
1456169680 1.0463
1456169740 10.8871
1456169800 9.7733
1456169860 9.5262
1456169920 0.3060
1456169980 1.4575
1456170040 0.0833
1456170100 1.7717
1456170160 3.2258
1456170220 1.3617
1456170280 0.0937
1456170340 0.0799
1456170400 0.4541
1456170460 0.0513
1456170520 0.0000
1456170579 0.3025
1456170639 6.0861
1456170699 19.2940
1456170759 25.6994
1456170819 29.8551
1456170879 37.6650
1456170939 43.1552
1456170999 47.2081
1456171059 52.3890
1456171119 56.3015
1456171179 58.7318
1456171239 65.3342
1456171299 60.6640
1456171359 64.4545
1456171419 66.6443
1456171479 67.1906
1456171539 69.5980
